City,State,Population
Loma Linda city, California,"24,816"
Herndon town, Virginia,"24,649"
Hastings city, Nebraska,"25,136"
Kerrville city, Texas,"24,297"
Columbus city, Nebraska,"24,044"
Inkster city, Michigan,"26,077"
Cartersville city, Georgia,"23,156"
Bessemer city, Alabama,"26,070"
Norton Shores city, Michigan,"25,034"
Eustis city, Florida,"23,209"
Ardmore city, Oklahoma,"24,720"
South Plainfield borough, New Jersey,"24,330"
Paris city, Texas,"24,475"
Johnston city, Iowa,"23,937"
Faribault city, Minnesota,"24,463"
Alton city, Illinois,"25,686"
Hazelwood city, Missouri,"25,455"
South Elgin village, Illinois,"23,873"
Zanesville city, Ohio,"24,769"
Barstow city, California,"25,409"
Florence town, Arizona,"27,361"
Fort Dodge city, Iowa,"24,871"
Kingsville city, Texas,"25,368"
Homer Glen village, Illinois,"24,543"
Greenbelt city, Maryland,"24,917"
Athens city, Ohio,"23,842"
Horizon City city, Texas,"22,488"
Perry city, Georgia,"20,613"
Mandan city, North Dakota,"24,193"
Wadsworth city, Ohio,"24,018"
Ennis city, Texas,"20,126"
Hurricane city, Utah,"20,036"
Avon town, Indiana,"21,482"
San Benito city, Texas,"24,865"
Payson city, Utah,"21,142"
Romulus city, Michigan,"25,173"
Barberton city, Ohio,"25,181"
Bainbridge Island city, Washington,"24,825"
West Haven city, Utah,"16,720"
Groveland city, Florida,"18,515"
Zion city, Illinois,"24,782"
Ridgeland city, Mississippi,"24,666"
Brookings city, South Dakota,"23,382"
Benbrook city, Texas,"24,528"
Selma city, California,"24,773"
Decatur city, Georgia,"24,938"
Newport city, Rhode Island,"25,169"
Riverside city, Ohio,"24,471"
Morton Grove village, Illinois,"25,295"
Farmington city, Minnesota,"23,676"
Corinth city, Texas,"22,694"
Seal Beach city, California,"25,232"
Van Buren city, Arkansas,"23,213"
Emporia city, Kansas,"24,140"
Edgewater city, Florida,"23,113"
Glassboro borough, New Jersey,"23,156"
Westmont village, Illinois,"24,464"
Marshall city, Texas,"23,382"
St. John town, Indiana,"20,322"
Ponca City city, Oklahoma,"24,426"
Wyandotte city, Michigan,"25,041"
Willoughby city, Ohio,"23,858"
Sandusky city, Ohio,"25,147"
Kenmore city, Washington,"23,916"
Oak Harbor city, Washington,"24,622"
Clinton city, Iowa,"24,467"
Watertown city, New York,"24,677"
Melrose Park village, Illinois,"24,801"
Searcy city, Arkansas,"22,941"
Griffin city, Georgia,"23,482"
Mustang city, Oklahoma,"19,918"
Coralville city, Iowa,"22,333"
Otsego city, Minnesota,"19,968"
Solon city, Ohio,"24,260"
Maywood city, California,"25,125"
Roseburg city, Oregon,"23,656"
Collinsville city, Illinois,"24,408"
Kingston city, New York,"24,040"
Rolling Meadows city, Illinois,"24,274"
Clinton city, Utah,"23,393"
Elmwood Park village, Illinois,"24,526"
Fountain Hills town, Arizona,"23,818"
Burlington city, Iowa,"24,022"
Loves Park city, Illinois,"23,398"
Munster town, Indiana,"23,895"
Jacksonville Beach city, Florida,"23,830"
Mesquite city, Nevada,"20,456"
North Salt Lake city, Utah,"23,018"
Pottstown borough, Pennsylvania,"23,442"
Lisle village, Illinois,"23,710"
West Memphis city, Arkansas,"24,523"
Kankakee city, Illinois,"24,076"
Webster Groves city, Missouri,"24,001"
Waynesboro city, Virginia,"22,193"
Highland town, Indiana,"23,983"
Duarte city, California,"21,724"
Watertown city, South Dakota,"22,660"
San Fernando city, California,"23,963"
White Bear Lake city, Minnesota,"24,876"
DeBary city, Florida,"22,185"
Hammond city, Louisiana,"19,632"
Albertville city, Alabama,"22,402"
Maywood village, Illinois,"23,517"
Hialeah Gardens city, Florida,"23,067"
Millbrae city, California,"23,212"
Muscatine city, Iowa,"23,809"
Sapulpa city, Oklahoma,"21,923"
Ozark city, Missouri,"21,284"
Oakdale city, California,"23,177"
Waxhaw town, North Carolina,"20,542"
Duncan city, Oklahoma,"22,675"
Freeport city, Illinois,"24,030"
Watauga city, Texas,"23,657"
Summit city, New Jersey,"22,730"
Maple Heights city, Ohio,"23,681"
Hudson city, Ohio,"23,090"
Trotwood city, Ohio,"23,078"
North Plainfield borough, New Jersey,"22,806"
Roselle borough, New Jersey,"22,694"
Suwanee city, Georgia,"20,818"
Marina city, California,"22,355"
Champlin city, Minnesota,"23,913"
Chambersburg borough, Pennsylvania,"21,893"
Keene city, New Hampshire,"23,034"
Central Falls city, Rhode Island,"22,583"
Garden City village, New York,"23,267"
Terrell city, Texas,"17,657"
Hopewell city, Virginia,"23,032"
Rock Springs city, Wyoming,"23,526"
Battle Ground city, Washington,"20,759"
Portsmouth city, New Hampshire,"21,959"
Prairie Village city, Kansas,"22,952"
North Ogden city, Utah,"20,926"
Alton city, Texas,"18,227"
Sunny Isles Beach city, Florida,"22,342"
Roselle village, Illinois,"22,920"
Machesney Park village, Illinois,"22,941"
Columbus city, Mississippi,"24,070"
Shelby city, North Carolina,"21,911"
Lino Lakes city, Minnesota,"21,410"
West Chester borough, Pennsylvania,"18,666"
Shafter city, California,"19,955"
Boerne city, Texas,"17,864"
Secaucus town, New Jersey,"22,187"
Radcliff city, Kentucky,"23,021"
Greenwood city, South Carolina,"22,555"
Christiansburg town, Virginia,"23,355"
Corcoran city, California,"22,361"
Acworth city, Georgia,"22,466"
Bloomingdale village, Illinois,"22,376"
Watertown city, Wisconsin,"22,933"
Altoona city, Iowa,"19,669"
Oxford city, Ohio,"23,045"
Middleton city, Wisconsin,"21,825"
Laguna Beach city, California,"23,038"
North Platte city, Nebraska,"23,407"
Big Spring city, Texas,"26,310"
Seymour city, Indiana,"22,000"
Carlisle borough, Pennsylvania,"20,117"
Hastings city, Minnesota,"22,159"
Sanford city, Maine,"21,976"
Clemmons village, North Carolina,"21,172"
La Porte city, Indiana,"22,453"
Evans city, Colorado,"22,182"
New Brighton city, Minnesota,"23,457"
Biddeford city, Maine,"22,549"
Columbia Heights city, Minnesota,"21,963"
Snellville city, Georgia,"20,572"
Ruston city, Louisiana,"22,160"
Sedalia city, Missouri,"21,731"
Zephyrhills city, Florida,"17,218"
Bryant city, Arkansas,"20,660"
Calabasas city, California,"23,236"
Carbondale city, Illinois,"22,300"
Helena city, Alabama,"20,959"
Birmingham city, Michigan,"21,817"
Harrison town, New Jersey,"19,460"
Klamath Falls city, Oregon,"21,787"
Stephenville city, Texas,"20,963"
Bonney Lake city, Washington,"21,664"
Imperial city, California,"20,348"
Oxford city, Alabama,"22,088"
Bartow city, Florida,"19,562"
Crystal city, Minnesota,"23,328"
Junction City city, Kansas,"22,932"
Clarksville town, Indiana,"22,348"
East Peoria city, Illinois,"22,493"
Villa Park village, Illinois,"22,258"
Darien city, Illinois,"22,047"
Tavares city, Florida,"18,999"
Lebanon city, Ohio,"20,865"
Hanahan city, South Carolina,"20,276"
East Ridge city, Tennessee,"22,169"
Howard village, Wisconsin,"19,957"
Arlington city, Washington,"19,911"
Montgomery village, Illinois,"20,290"
Lynn Haven city, Florida,"18,710"
Dickinson city, Texas,"21,433"
West St. Paul city, Minnesota,"20,600"
Lindenwold borough, New Jersey,"21,657"
North Liberty city, Iowa,"20,481"
Willmar city, Minnesota,"21,028"
Yucca Valley town, California,"21,740"
Marquette city, Michigan,"21,147"
Knightdale town, North Carolina,"19,471"
Blue Island city, Illinois,"22,562"
Pleasant Prairie village, Wisconsin,"21,253"
Chillicothe city, Ohio,"22,051"
American Canyon city, California,"21,839"
South Burlington city, Vermont,"20,201"
Mountain Brook city, Alabama,"22,549"
Cudahy city, California,"22,807"
St. Michael city, Minnesota,"18,217"
Elmwood Park borough, New Jersey,"21,424"
Montrose city, Colorado,"20,308"
Tukwila city, Washington,"21,780"
Milwaukie city, Oregon,"21,157"
Covington city, Washington,"20,772"
Alliance city, Ohio,"21,671"
Manor city, Texas,"13,642"
Pascagoula city, Mississippi,"22,000"
Rocky River city, Ohio,"21,751"
Culpeper town, Virginia,"20,081"
Republic city, Missouri,"18,763"
Westbrook city, Maine,"20,405"
Gardner city, Massachusetts,"21,282"
South Euclid city, Ohio,"21,891"
New Castle city, Pennsylvania,"21,933"
Port Hueneme city, California,"21,965"
Sweetwater city, Florida,"19,365"
Northfield city, Minnesota,"20,815"
Mineola village, New York,"20,809"
Mukilteo city, Washington,"21,526"
Del City city, Oklahoma,"21,812"
Golden Valley city, Minnesota,"22,556"
Grayslake village, Illinois,"21,258"
South Lake Tahoe city, California,"21,336"
Hays city, Kansas,"21,140"
Fort Walton Beach city, Florida,"20,923"
Geneva city, Illinois,"21,370"
Frankfort village, Illinois,"20,299"
Highland city, Utah,"19,354"
Anniston city, Alabama,"21,567"
Murphy city, Texas,"21,005"
Mount Pleasant city, Michigan,"21,703"
Carrboro town, North Carolina,"21,292"
Ashland city, Kentucky,"21,627"
Saco city, Maine,"20,379"
Hyattsville city, Maryland,"21,187"
Greenfield city, California,"18,937"
Arnold city, Missouri,"20,898"
Tullahoma city, Tennessee,"20,345"
Germantown village, Wisconsin,"20,914"
Park Forest village, Illinois,"21,699"
Ellensburg city, Washington,"21,557"
East Moline city, Illinois,"21,361"
Mill Creek city, Washington,"20,934"
Angleton city, Texas,"19,429"
Piqua city, Ohio,"20,378"
Ashland city, Oregon,"21,394"
Pleasantville city, New Jersey,"20,625"
Durant city, Oklahoma,"18,589"
Shelbyville city, Indiana,"20,115"
Elko city, Nevada,"20,541"
Louisville city, Colorado,"21,244"
North Myrtle Beach city, South Carolina,"18,830"
Kingsland city, Georgia,"18,211"
South Holland village, Illinois,"21,470"
New Hope city, Minnesota,"21,981"
Morristown town, New Jersey,"20,172"
Murrysville municipality, Pennsylvania,"20,989"
Portland city, Texas,"20,431"
Baldwin borough, Pennsylvania,"21,520"
Forest Lake city, Minnesota,"20,612"
Dolton village, Illinois,"21,418"
Alamo city, Texas,"19,516"
Lynbrook village, New York,"20,424"
Westminster city, Maryland,"20,137"
Rolla city, Missouri,"19,929"
Painesville city, Ohio,"20,298"
Auburndale city, Florida,"15,602"
Mebane city, North Carolina,"17,734"
Libertyville village, Illinois,"20,581"
Johnstown town, Colorado,"17,327"
Winder city, Georgia,"18,342"
Claremore city, Oklahoma,"19,584"
South St. Paul city, Minnesota,"20,757"
Sulphur city, Louisiana,"21,826"
Pittsburg city, Kansas,"20,655"
Parma Heights city, Ohio,"20,850"
Palisades Park borough, New Jersey,"20,288"
Crowley city, Texas,"18,058"
Sherwood city, Oregon,"20,458"
Bethany city, Oklahoma,"20,822"
Fayetteville city, Georgia,"18,942"
Punta Gorda city, Florida,"19,600"
Lockport city, New York,"20,876"
Sidney city, Ohio,"20,592"
Zachary city, Louisiana,"19,423"
Gallup city, New Mexico,"21,902"
Harrisburg town, North Carolina,"18,985"
Sand Springs city, Oklahoma,"19,917"
Brigham City city, Utah,"19,644"
Dixon city, California,"19,308"
Phoenixville borough, Pennsylvania,"18,601"
Universal City city, Texas,"19,714"
Adrian city, Michigan,"20,647"
Miamisburg city, Ohio,"19,927"
Cullman city, Alabama,"18,335"
South Milwaukee city, Wisconsin,"20,797"
Crest Hill city, Illinois,"20,457"
La Marque city, Texas,"18,377"
Monroe city, Michigan,"20,460"
Erlanger city, Kentucky,"19,651"
Naples city, Florida,"19,117"
Golden city, Colorado,"20,415"
Ypsilanti city, Michigan,"20,653"
Holly Springs city, Georgia,"16,443"
Seagoville city, Texas,"18,458"
St. Marys city, Georgia,"18,464"
Port Angeles city, Washington,"19,958"
Conyers city, Georgia,"17,304"
Villa Rica city, Georgia,"17,071"
Ammon city, Idaho,"17,720"
Boone town, North Carolina,"19,112"
Siloam Springs city, Arkansas,"17,391"
El Reno city, Oklahoma,"16,993"
Forest Park city, Ohio,"20,191"
Vicksburg city, Mississippi,"21,559"
Hawthorne borough, New Jersey,"19,636"
Oconomowoc city, Wisconsin,"18,172"
Whitehall city, Ohio,"20,127"
Monroe city, Washington,"19,818"
Mayfield Heights city, Ohio,"20,346"
Lomita city, California,"20,952"
Mamaroneck village, New York,"20,193"
Harvey city, Illinois,"20,323"
Oroville city, California,"20,165"
La Cañada Flintridge city, California,"20,574"
Albany city, California,"20,270"
Agoura Hills city, California,"20,296"
Plainview city, Texas,"20,169"
Coronado city, California,"20,199"
