City,State,Population
Rio Rancho city, New Mexico,"104,047"
Temecula city, California,"109,990"
Concord city, North Carolina,"105,329"
Tyler city, Texas,"105,972"
Davie town, Florida,"105,705"
South Fulton city, Georgia,"108,074"
Peoria city, Illinois,"113,264"
Sparks city, Nevada,"108,459"
Gresham city, Oregon,"114,265"
Santa Maria city, California,"109,694"
Pueblo city, Colorado,"111,868"
Hillsboro city, Oregon,"106,492"
Sugar Land city, Texas,"111,040"
San Buenaventura (Ventura) city, California,"110,754"
Downey city, California,"114,351"
Costa Mesa city, California,"112,187"
Centennial city, Colorado,"108,425"
Edinburg city, Texas,"100,316"
Spokane Valley city, Washington,"103,094"
Jurupa Valley city, California,"105,053"
Bend city, Oregon,"99,221"
West Covina city, California,"109,500"
Boulder city, Colorado,"108,556"
Palm Coast city, Florida,"89,230"
Lee's Summit city, Missouri,"101,122"
Dearborn city, Michigan,"109,956"
Green Bay city, Wisconsin,"107,365"
St. George city, Utah,"95,353"
Brockton city, Massachusetts,"105,654"
Renton city, Washington,"106,849"
Sandy Springs city, Georgia,"108,106"
Rialto city, California,"103,931"
El Monte city, California,"109,457"
Vacaville city, California,"102,388"
Fishers city, Indiana,"99,065"
South Bend city, Indiana,"103,444"
Carmel city, Indiana,"99,750"
Yuma city, Arizona,"97,090"
Burbank city, California,"107,334"
Lynn city, Massachusetts,"101,261"
Quincy city, Massachusetts,"101,618"
El Cajon city, California,"106,193"
Fayetteville city, Arkansas,"94,311"
Suffolk city, Virginia,"94,406"
San Mateo city, California,"105,663"
Chico city, California,"103,830"
Inglewood city, California,"107,765"
Wichita Falls city, Texas,"102,285"
Boca Raton city, Florida,"97,436"
Hesperia city, California,"99,815"
Daly City city, California,"105,049"
Georgetown city, Texas,"67,423"
New Bedford city, Massachusetts,"101,079"
Albany city, New York,"99,161"
Davenport city, Iowa,"101,730"
Plantation city, Florida,"91,779"
Deltona city, Florida,"93,700"
Federal Way city, Washington,"101,023"
San Angelo city, Texas,"99,903"
Tracy city, California,"93,118"
Sunrise city, Florida,"97,294"
Fort Myers city, Florida,"86,428"
Longmont city, Colorado,"98,919"
Kenosha city, Wisconsin,"100,005"
Vista city, California,"98,732"
Edmond city, Oklahoma,"94,427"
Beaverton city, Oregon,"97,538"
Norwalk city, California,"102,766"
Roanoke city, Virginia,"100,016"
Yakima city, Washington,"96,992"
Lawrence city, Kansas,"94,933"
Orem city, Utah,"98,130"
San Marcos city, California,"94,868"
Avondale city, Arizona,"89,343"
Portsmouth city, Virginia,"97,945"
Temple city, Texas,"82,217"
Merced city, California,"86,374"
Reading city, Pennsylvania,"95,100"
Bellingham city, Washington,"91,476"
Mount Pleasant town, South Carolina,"90,987"
Kirkland city, Washington,"92,164"
O'Fallon city, Missouri,"91,375"
Greenville city, North Carolina,"89,273"
Asheville city, North Carolina,"94,725"
Fall River city, Massachusetts,"93,983"
Manteca city, California,"83,555"
Indio city, California,"89,286"
Chino city, California,"91,390"
Norwalk city, Connecticut,"91,188"
Redding city, California,"93,919"
Lehi city, Utah,"75,918"
Livonia city, Michigan,"95,527"
Hoover city, Alabama,"92,571"
Erie city, Pennsylvania,"95,017"
Hemet city, California,"89,811"
North Port city, Florida,"74,801"
Sandy city, Utah,"97,278"
Roswell city, Georgia,"92,825"
Champaign city, Illinois,"88,317"
Nashua city, New Hampshire,"91,331"
Mission Viejo city, California,"93,638"
Bryan city, Texas,"83,988"
Carson city, California,"95,557"
Trenton city, New Jersey,"90,810"
Compton city, California,"95,728"
South Gate city, California,"92,719"
Santa Monica city, California,"93,075"
Newton city, Massachusetts,"88,931"
Santa Fe city, New Mexico,"87,508"
Fort Smith city, Arkansas,"89,144"
Deerfield Beach city, Florida,"86,856"
Clifton city, New Jersey,"89,872"
Lawton city, Oklahoma,"90,378"
Westminster city, California,"90,818"
Frederick city, Maryland,"78,134"
Springdale city, Arkansas,"87,323"
Lawrence city, Massachusetts,"89,165"
